Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2",01005,4,1uF,
"C12, C16",01005,2,100nF,
"C13, C20",01005,2,10uF,
"C14, C19",01005,2,15pF,
"C15, C5, C6, C7, C8",01005,5,33pF,
C17,01005,1,10nF,
C18,01005,1,68pF,
C3,01005,1,47pF,
C4,01005,1,0.1uF,
C9,01005,1,100uF,
IC1,SARAN31000X,1,SARA-N310-00X,
IC2,SON127P600X500X100-9N,1,ST4SI2M0020TPIFW,
"J1, J2",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,
L1,0402,1,L_Iron,
L2,0402,1,2.2uH,
L3,0402,1,1uF,
L4,0402,1,39nH,
"Q1, Q2",SOT95P237X112-3N,2,SQ2318CES-T1_GE3,
"R1, R10, R16, R17, R18, R2, R21, R22, R6, R9",0201,10,10K,
R11,0201,1,330K,
R12,0201,1,50K,
R3,0201,1,10,
"TP1, TP12_GND_OUT1",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,3v3 In,
TP10,TestPoint_Pad_D1.0mm,1,TP_ST_UART2_RTS,
TP11,TestPoint_Pad_D1.0mm,1,TP_ST_UART2_CTS,
TP2,TestPoint_Pad_D1.0mm,1,TestPoint,
TP3,TestPoint_Pad_D1.0mm,1,TP_ST_UART1_TX,
TP4,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,SWCLK,
TP5,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,SWDIO,
TP6,TestPoint_Pad_D1.0mm,1,1V8,
TP7,TestPoint_Pad_D1.0mm,1,TP_ST_UART1_RX,
TP8,TestPoint_Pad_D1.0mm,1,TP_ST_UART2_TX,
TP9,TestPoint_Pad_D1.0mm,1,TP_ST_UART2_RX,
U1,ST_UFQFPN-20_3x3mm_P0.5mm,1,STM32L011F3Ux,
U2,ublox_ZOE_M8,1,ZOE-M8G,
U3,SOT-23-5,1,LP5907MFX-1.8,
U4,SOT-23-6,1,TLV61070ADBV,
U7,SOT-23,1,MCP1703Ax-120xxTT,
Y1,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm_HandSoldering,1,Crystal,
